mangaid,plateifu,ewha_1re,classification,classification_in_1psf,classification_out_1psf,last_lier_re,sy_annulus_flag,baseline_radial_profile,log_sersic_mass,log_elpetro_mass,phi,nsa_sersic_absmag [FNugriz]
1-211084,8312-1902,0.2722494037709924,Lineless,Lineless,Lineless,,False,,10.309538615312363,10.224835953109055,114.242,[-13.114  -14.5279 -17.8124 -19.5907 -20.3765 -20.7237 -20.9725]
1-211006,8312-3701,0.2652305803252475,Lineless,Lineless,Lineless,,False,,10.315489628120467,10.199760660735043,5.9032,[-13.9907 -14.5724 -17.7763 -19.5534 -20.3075 -20.851  -20.9771]
1-135095,8312-3702,7.212189724882628,SF,SF,Bad_SNR (Lineless),,False,"[{""r"": 0.11940348, ""class"": ""SF""}, {""r"": 0.23880696, ""class"": ""SF""}, {""r"": 0.35821044, ""class"": ""SF""}, {""r"": 0.47761392, ""class"": ""SF""}, {""r"": 0.5970174, ""class"": ""SF""}, {""r"": 0.71642088, ""class"": ""SF""}, {""r"": 0.83582436, ""class"": ""SF""}, {""r"": 0.95522784, ""class"": ""SF""}, {""r"": 1.07463132, ""class"": ""Bad_SNR (Lineless)""}, {""r"": 1.1940347999999998, ""class"": ""Bad_SNR (Lineless)""}, {""r"": 1.3134382799999997, ""class"": ""Bad_SNR (Lineless)""}]",9.878351720978301,9.890663529978672,4.53577,[-14.404  -15.4475 -17.1915 -18.6615 -19.4269 -19.7644 -19.9586]
1-211044,8312-3703,0.3619307861100917,Lineless,Lineless,Lineless,,False,,9.597225543097396,9.570678343932634,21.5825,[-11.6995 -13.5097 -16.3315 -17.9291 -18.6612 -19.0037 -19.2767]
1-210754,8312-3704,0.3234198290966981,Lineless,Lineless,Lineless,,False,,10.319164377914339,10.11217250239113,50.712,[ -7.18213 -14.6316  -17.9056  -19.6683  -20.3722  -20.7657  -20.966  ]
1-210972,8312-6102,5.553827486206896,cLIER,LIER,SF,0.82763328,False,"[{""r"": 0.20690832, ""class"": ""LIER""}, {""r"": 0.41381664, ""class"": ""LIER""}, {""r"": 0.62072496, ""class"": ""LIER""}, {""r"": 0.82763328, ""class"": ""LIER""}, {""r"": 1.0345416, ""class"": ""SF""}, {""r"": 1.24144992, ""class"": ""SF""}, {""r"": 1.44835824, ""class"": ""SF""}, {""r"": 1.6552665599999998, ""class"": ""SF""}, {""r"": 1.8621748799999998, ""class"": ""Bad_SNR (Lineless)""}, {""r"": 2.0690831999999997, ""class"": ""Bad_SNR (Lineless)""}, {""r"": 2.27599152, ""class"": ""Bad_SNR (Lineless)""}]",10.347029320906369,10.25749858129809,94.1438,[-15.9505 -16.6739 -18.3694 -19.8477 -20.6007 -20.9464 -21.2547]
1-135152,8312-6103,9.329059653592816,SF,SF,Bad_SNR (Lineless),,False,"[{""r"": 0.11089699, ""class"": ""Bad_SNR (Lineless)""}, {""r"": 0.22179398, ""class"": ""Bad_SNR (Lineless)""}, {""r"": 0.33269097000000003, ""class"": ""SF""}, {""r"": 0.44358796, ""class"": ""SF""}, {""r"": 0.55448495, ""class"": ""SF""}, {""r"": 0.66538194, ""class"": ""SF""}, {""r"": 0.7762789299999999, ""class"": ""Bad_SNR (Lineless)""}, {""r"": 0.8871759199999999, ""class"": ""Bad_SNR (Lineless)""}, {""r"": 0.9980729099999999, ""class"": ""Bad_SNR (Lineless)""}, {""r"": 1.1089699, ""class"": ""Bad_SNR (Lineless)""}]",9.297878640633995,9.315953560804772,112.213,[-14.613  -15.1603 -16.5514 -17.6894 -18.2268 -18.5111 -18.5981]
1-135077,8312-6104,9.537889058677688,SF,SF,Bad_SNR (Lineless),,False,"[{""r"": 0.184149, ""class"": ""SF""}, {""r"": 0.368298, ""class"": ""SF""}, {""r"": 0.552447, ""class"": ""SF""}, {""r"": 0.736596, ""class"": ""SF""}, {""r"": 0.920745, ""class"": ""SF""}, {""r"": 1.104894, ""class"": ""SF""}, {""r"": 1.289043, ""class"": ""SF""}, {""r"": 1.473192, ""class"": ""Bad_SNR (Lineless)""}, {""r"": 1.6573410000000002, ""class"": ""Bad_SNR (Lineless)""}, {""r"": 1.8414900000000003, ""class"": ""Bad_SNR (Lineless)""}]",9.356341419126194,9.349322217665518,101.141,[-14.1889 -14.7717 -16.2759 -17.6198 -18.2651 -18.5826 -18.8637]
1-210785,8312-9101,0.1075182619245454,Lineless,Lineless,Lineless,,False,,10.765492715568355,10.668648650600195,122.796,[-13.8797 -15.934  -19.1889 -20.7959 -21.5133 -21.876  -22.1351]
1-210774,8312-9102,0.5111814390457778,Lineless,Lineless,Lineless,,False,,10.766725813046413,10.597316658395863,175.506,[-14.6892 -15.8587 -19.0233 -20.7451 -21.4754 -21.8629 -22.2064]
